id,url,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,has_creature_stats,xp_gain,raw_xp_gain,balance,supplies_total,loot_total,supplies_known,xp_h,raw_xp_h,balance_h,loot_h,query_min,query_max,query_party,query_search
41940,https://www.hunt-analyser.com/hunt_sessions/41940,demons edron square,"Dec 31, 2025 18:02",01:01h,61,0,,,,,1,545445,0,70303,0,70303,0,536503,0,69150,69150.0,0,0,,demon
42139,https://www.hunt-analyser.com/hunt_sessions/42139,Oramond Sewers,"Jan 06, 2026 16:22",00:38h,38,1,RP 431,431,431,431,1,3718935,1723298,819524,311068,1130592,1,5872002,2720996,1293985,1785145.0,0,0,,demon
42159,https://www.hunt-analyser.com/hunt_sessions/42159,Oramond Sewers,"Jan 07, 2026 03:54",00:30h,30,1,RP 432,432,432,432,1,2966692,1383795,885927,248746,1134673,1,5933384,2767590,1771854,2269346.0,0,0,,demon
42161,https://www.hunt-analyser.com/hunt_sessions/42161,Oramond Sewers,"Jan 07, 2026 04:51",00:36h,36,1,RP 432,432,432,432,1,3650064,1683378,565659,300050,865709,1,6083440,2805630,942765,1442848.0,0,0,,demon
43200,https://www.hunt-analyser.com/hunt_sessions/43200,demon edron,"Feb 02, 2026 23:40",01:18h,78,0,,,,,1,586327,0,165267,0,165267,0,451020,0,127128,127128.0,0,0,,demon
43631,https://www.hunt-analyser.com/hunt_sessions/43631,demon edron,"Feb 15, 2026 22:41",00:33h,33,0,,,,,1,266700,0,43729,0,43729,0,484909,0,79507,79507.0,0,0,,demon
44540,https://www.hunt-analyser.com/hunt_sessions/44540,Catedral -1,"Mar 07, 2026 12:54",00:29h,29,2,ED 451+EK 373,373,451,412,1,5055219,1685073,407242,232929,640171,1,10459073,3486357,842569,1324492.0,0,0,,demon
44985,https://www.hunt-analyser.com/hunt_sessions/44985,Goana Esquerda,"Mar 17, 2026 22:32",00:54h,54,4,ED 469+EM 438+EK 410+RP 390,390,469,427,1,8481496,5654371,956219,1592883,2549102,1,9423884,6282634,1062465,2832336.0,0,0,,demon
45098,https://www.hunt-analyser.com/hunt_sessions/45098,catacombs demon boosted (de novo) x2,"Mar 20, 2026 16:30",00:31h,31,2,RP 490+MS 432,432,490,461,1,5156811,2305617,563851,315254,879105,1,9980924,4462484,1091324,1701494.0,0,0,,demon
45101,https://www.hunt-analyser.com/hunt_sessions/45101,catacombs demon boosted (de novo) x2,"Mar 20, 2026 16:30",00:31h,31,2,RP 490+MS 432,432,490,461,1,2575314,2324558,563851,315254,879105,1,4984478,4499144,1091324,1701494.0,0,0,,demon
