hunt_id,slot,name,voc,voc_name,level,supplies,balance_m
46669,1,Bruzaca,EK,Elite Knight,586,-251004,1120897
47754,1,Kataha,ED,Elder Druid,1116,-436712,41973
47754,2,Weemo,EK,Elite Knight,1207,-539489,4594110
48993,1,Elor Shissere,RP,Royal Paladin,330,-22506,33555
49267,1,Jolyne Galhocaido,ED,Elder Druid,706,-213780,313476
49267,2,Vure,EK,Elite Knight,708,-129049,3284096
49568,1,Jolyne Galhocaido,ED,Elder Druid,711,-210568,238788
49568,2,Vure,EK,Elite Knight,713,-201012,3258260
49759,1,Jolyne Galhocaido,ED,Elder Druid,717,-312508,367146
49759,2,Vure,EK,Elite Knight,718,-295915,3713616
50187,1,Jolyne Galhocaido,ED,Elder Druid,731,-76273,179340
50187,2,Vure,EK,Elite Knight,734,-143895,1022128
50699,1,Elegorn,EK,Elite Knight,527,-271856,3199995
51716,1,Jolyne Galhocaido,ED,Elder Druid,751,-219622,324038
51716,2,Vure,EK,Elite Knight,750,-254188,3063754
52884,1,Raldrak,EK,Elite Knight,637,-207330,568882
54069,1,Fae Nya,RP,Royal Paladin,682,-147630,640101
54689,1,Nukik,RP,Royal Paladin,531,-392326,973454
54697,1,Nukik,RP,Royal Paladin,531,-347366,1077418
55194,1,Jolyne Galhocaido,ED,Elder Druid,776,-226472,874444
55194,2,Vure,EK,Elite Knight,771,-313744,2787879
55427,1,Jolyne Galhocaido,ED,Elder Druid,779,-273810,793022
55427,2,Vure,EK,Elite Knight,776,-408544,3361724
55514,1,Jolyne Galhocaido,ED,Elder Druid,782,-239843,563303
55514,2,Vure,EK,Elite Knight,778,-326234,3452045
55858,1,Jolyne Galhocaido,ED,Elder Druid,792,-82090,201487
55858,2,Vure,EK,Elite Knight,787,-129902,902782
56613,1,Bolch Veek,EM,Exalted Monk,916,-32705,533940
56813,1,Bolch Veek,EM,Exalted Monk,918,-103871,2470874
